host_response_rate,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating
100%,100%,49.27338,-123.12292,4,2.0,2.0,$144.00,2,2,80.0
90%,50%,49.24317,-123.10619,1,1.0,1.0,$30.00,30,0,
100%,84%,49.22288,-123.09003,2,2.0,3.0,$109.00,30,3,93.0
100%,100%,49.27582,-123.13218,6,2.0,3.0,$150.00,30,1,100.0
100%,97%,49.24866,-123.08076,2,2.0,2.0,$110.00,2,25,99.0
,100%,49.25367,-123.02993,2,1.0,1.0,$89.00,1,0,
100%,75%,49.26072,-123.08482,3,2.0,3.0,$150.00,2,1,80.0
100%,33%,49.27952,-123.10912,2,1.0,1.0,$150.00,30,1,100.0
100%,67%,49.25081,-123.10436,6,2.0,2.0,$89.00,2,2,80.0
100%,50%,49.26941,-123.18635,2,1.0,1.0,$157.00,1,0,
100%,67%,49.24961,-123.10529,5,2.0,2.0,$175.00,1,2,100.0
100%,96%,49.2801,-123.12652,6,2.0,2.0,$217.00,3,7,100.0
100%,100%,49.28745,-123.12368,2,1.0,1.0,$240.00,3,4,100.0
100%,96%,49.2801,-123.12652,6,2.0,2.0,$191.00,14,6,100.0
100%,100%,49.28141,-123.10261,2,1.0,1.0,$148.00,3,35,98.0
100%,83%,49.27253,-123.06216,2,2.0,1.0,$74.00,30,0,
100%,92%,49.28221,-123.10328,2,,1.0,$70.00,30,1,100.0
100%,67%,49.25979,-123.18377,2,,2.0,$100.00,30,2,100.0
100%,100%,49.26894,-123.15817,1,1.0,1.0,$40.00,30,2,90.0
100%,92%,49.28239,-123.10311,4,1.0,1.0,$80.00,30,2,100.0
,100%,49.2829,-123.10283,2,1.0,1.0,$74.00,30,1,100.0
100%,,49.28099,-123.12558,2,1.0,1.0,$72.00,30,0,
100%,99%,49.2782,-123.12434,2,1.0,1.0,$67.00,1,11,89.0
100%,96%,49.2737,-123.12857,2,1.0,1.0,$95.00,30,4,95.0
,,49.27787,-123.11589,4,,1.0,$100.00,1,0,
100%,99%,49.27856,-123.12421,1,1.0,1.0,$38.00,1,17,96.0
60%,100%,49.26828,-123.05226,6,3.0,3.0,$129.00,30,2,70.0
93%,98%,49.27793,-123.12065,3,1.0,2.0,$217.00,2,31,99.0
100%,100%,49.27495,-123.11642,2,,1.0,$89.00,31,0,
100%,,49.24252,-123.15084,3,2.0,2.0,$120.00,30,0,
100%,90%,49.26122,-123.07269,1,1.0,1.0,$24.00,30,3,80.0
,83%,49.22467,-123.12011,1,1.0,1.0,$32.00,30,2,100.0
17%,89%,49.27854,-123.10631,4,1.0,1.0,$188.00,5,6,97.0
100%,100%,49.28645,-123.12277,5,2.0,2.0,$166.00,1,40,92.0
0%,50%,49.27844,-123.12861,4,2.0,2.0,$158.00,30,0,
100%,100%,49.27414,-123.12675,4,2.0,3.0,$139.00,90,3,100.0
100%,100%,49.27409,-123.15169,4,2.0,2.0,$248.00,1,35,97.0
,83%,49.22587,-123.12018,2,1.0,1.0,$43.00,30,1,100.0
,,49.26803,-123.14771,2,1.0,1.0,$289.00,30,0,
91%,80%,49.27564,-123.13041,2,,0.0,$88.00,60,0,
91%,80%,49.27805,-123.12911,4,2.0,2.0,$127.00,60,1,80.0
91%,80%,49.27546,-123.11261,2,1.0,0.0,$106.00,60,0,
91%,80%,49.27914,-123.12505,4,2.0,0.0,$122.00,60,0,
91%,80%,49.28337,-123.10424,2,,0.0,$68.00,180,0,
,83%,49.22396,-123.12185,1,1.0,1.0,$32.00,30,0,
100%,100%,49.25835,-123.16539,4,2.0,3.0,$145.00,1,12,90.0
,,49.27292,-123.12012,4,2.0,2.0,$220.00,89,0,
90%,33%,49.28422,-123.10468,2,1.0,2.0,$650.00,30,0,
25%,33%,49.21117,-123.1157,5,2.0,2.0,$100.00,30,1,100.0
100%,100%,49.26304,-123.18488,4,2.0,3.0,$215.00,1,2,100.0
92%,98%,49.27682,-123.12739,2,,2.0,$290.00,1,24,88.0
100%,89%,49.28639,-123.12469,6,2.0,3.0,$135.00,1,82,98.0
,100%,49.26834,-123.15489,5,2.0,2.0,$190.00,30,2,100.0
94%,99%,49.26578,-123.21073,2,1.0,,$55.00,1,4,95.0
92%,98%,49.27504,-123.12758,2,,2.0,$368.00,7,14,93.0
92%,98%,49.27697,-123.12755,2,,1.0,$368.00,7,6,93.0
100%,97%,49.28043,-123.12832,2,,1.0,$116.00,1,55,89.0
97%,85%,49.27543,-123.11574,4,1.0,1.0,$115.00,30,3,100.0
97%,85%,49.27387,-123.1145,4,2.0,2.0,$130.00,30,0,
100%,100%,49.23063,-123.1148,14,7.0,11.0,$500.00,2,1,100.0
100%,97%,49.25248,-123.07473,4,2.0,2.0,$74.00,2,26,87.0
100%,97%,49.25081,-123.07603,2,1.0,2.0,$69.00,2,36,93.0
100%,100%,49.26751,-123.18195,2,1.0,1.0,$115.00,5,8,100.0
88%,95%,49.21485,-123.09453,1,,1.0,$77.00,7,9,100.0
100%,100%,49.23822,-123.1574,4,2.0,2.0,$366.00,30,2,100.0
100%,99%,49.27738,-123.12044,4,2.0,2.0,$160.00,30,2,100.0
100%,72%,49.28192,-123.1028,5,2.0,2.0,$130.00,30,0,
100%,100%,49.27591,-123.13078,3,1.0,2.0,$138.00,30,2,100.0
90%,33%,49.28399,-123.1197,6,3.0,3.0,$350.00,90,0,
100%,100%,49.2515,-123.1937,6,2.0,3.0,$109.00,1,73,98.0
,,49.28124,-123.12757,2,1.0,1.0,$98.00,90,0,
93%,95%,49.27603,-123.11437,4,2.0,2.0,$140.00,2,9,89.0
100%,96%,49.20482,-123.02891,2,1.0,1.0,$80.00,30,15,100.0
93%,95%,49.276,-123.11482,4,2.0,2.0,$140.00,2,7,83.0
,,49.27912,-123.13066,6,2.0,3.0,$123.00,2,19,91.0
93%,95%,49.27374,-123.11472,4,2.0,2.0,$132.00,2,2,90.0
73%,100%,49.282,-123.12577,3,2.0,3.0,$89.00,30,0,
,100%,49.27391,-123.11446,2,1.0,1.0,$150.00,30,0,
99%,100%,49.22371,-123.11988,1,1.0,1.0,$34.00,1,21,82.0
93%,95%,49.27355,-123.11565,3,2.0,2.0,$129.00,2,6,90.0
93%,95%,49.27401,-123.11411,4,2.0,1.0,$138.00,2,5,92.0
99%,100%,49.22295,-123.1197,2,1.0,1.0,$40.00,1,22,83.0
93%,95%,49.27575,-123.11459,4,2.0,2.0,$148.00,2,6,80.0
93%,95%,49.21591,-123.11292,3,1.0,2.0,$169.00,30,1,100.0
99%,100%,49.22157,-123.11945,1,1.0,1.0,$38.00,1,12,75.0
100%,100%,49.22166,-123.11974,1,1.0,1.0,$41.00,1,3,87.0
10%,74%,49.27558,-123.11462,3,2.0,1.0,$145.00,2,15,91.0
,,49.21218,-123.11546,2,1.0,1.0,$85.00,30,2,100.0
100%,100%,49.28108,-123.08976,4,2.0,2.0,$100.00,30,7,100.0
91%,80%,49.2863,-123.13084,6,3.0,3.0,$156.00,30,0,
91%,80%,49.27583,-123.11576,3,1.0,2.0,$105.00,60,0,
91%,80%,49.27887,-123.11591,2,,0.0,$77.00,60,0,
91%,80%,49.27668,-123.12082,4,2.0,2.0,$127.00,90,0,
91%,80%,49.2761,-123.12778,2,1.0,1.0,$97.00,60,0,
91%,80%,49.28884,-123.12988,2,,0.0,$70.00,30,0,
93%,95%,49.27395,-123.1143,4,2.0,2.0,$128.00,2,8,90.0
93%,95%,49.27571,-123.1163,4,2.0,1.0,$132.00,2,6,80.0
93%,95%,49.27563,-123.11437,4,2.0,2.0,$140.00,2,4,90.0
93%,95%,49.21687,-123.11164,3,1.0,1.0,$161.00,2,3,100.0
,,49.28222,-123.12636,5,2.0,3.0,$135.00,30,3,100.0
100%,100%,49.27097,-123.1604,2,1.0,1.0,$203.00,2,15,99.0
100%,100%,49.26511,-123.15657,5,3.0,3.0,$395.00,3,3,100.0
93%,36%,49.283,-123.12695,4,2.0,2.0,$150.00,30,1,60.0
100%,63%,49.26115,-123.11512,4,2.0,2.0,$145.00,30,3,100.0
100%,92%,49.28057,-123.02463,4,2.0,2.0,$135.00,30,1,100.0
,,49.24487,-123.13488,2,1.0,1.0,$45.00,30,1,100.0
0%,86%,49.2749,-123.11748,2,1.0,1.0,$175.00,1,8,98.0
89%,95%,49.2736,-123.11402,5,2.0,3.0,$170.00,30,21,98.0
94%,99%,49.26391,-123.21295,1,1.0,1.0,$55.00,1,1,80.0
100%,100%,49.23797,-123.14829,6,2.0,2.0,$259.00,20,0,
,100%,49.21507,-123.0668,8,4.0,4.0,$128.00,6,9,87.0
100%,99%,49.2799,-123.10694,4,1.0,2.0,$119.00,1,41,93.0
100%,100%,49.23064,-123.0368,6,2.0,3.0,$98.00,2,2,100.0
97%,85%,49.27466,-123.11493,4,1.0,1.0,$100.00,90,2,60.0
93%,95%,49.27385,-123.11496,8,4.0,4.0,$210.00,2,3,60.0
93%,95%,49.27606,-123.11575,3,1.0,1.0,$138.00,2,9,91.0
93%,95%,49.27179,-123.1006,6,3.0,3.0,$172.00,30,3,80.0
100%,95%,49.20296,-123.1334,2,1.0,1.0,$105.00,30,1,100.0
10%,60%,49.26426,-123.11149,2,1.0,,$59.00,30,1,100.0
93%,95%,49.27393,-123.11463,3,2.0,1.0,$138.00,2,5,92.0
93%,95%,49.27386,-123.11595,4,2.0,2.0,$140.00,2,5,76.0
100%,98%,49.2812,-123.12739,2,,1.0,$96.00,1,52,91.0
,,49.22549,-123.10136,1,1.0,1.0,$61.00,1,0,
0%,79%,49.28253,-123.11232,3,1.0,1.0,$179.00,1,1,20.0
100%,99%,49.24902,-123.16086,2,1.0,1.0,$52.00,1,9,82.0
100%,99%,49.24919,-123.16089,2,1.0,1.0,$39.00,1,20,74.0
100%,99%,49.24708,-123.16278,2,1.0,1.0,$48.00,1,23,85.0
100%,99%,49.24898,-123.16071,2,1.0,1.0,$42.00,1,8,78.0
100%,99%,49.24752,-123.16257,2,1.0,1.0,$34.00,1,13,74.0
100%,99%,49.24888,-123.16112,2,1.0,1.0,$35.00,1,12,80.0
100%,99%,49.24754,-123.16058,2,1.0,1.0,$34.00,1,5,76.0
91%,80%,49.28775,-123.13239,2,,0.0,$83.00,30,1,100.0
93%,87%,49.27544,-123.12813,6,2.0,2.0,$132.00,90,0,
100%,92%,49.25529,-123.11129,2,1.0,1.0,$87.00,30,4,95.0
,,49.22663,-123.1138,5,3.0,3.0,$88.00,15,0,
,,49.27622,-123.12931,4,1.0,0.0,$100.00,90,0,
100%,88%,49.29383,-123.13639,4,1.0,3.0,$139.00,30,2,100.0
100%,60%,49.24055,-123.0837,4,1.0,4.0,$62.00,30,0,
97%,85%,49.27533,-123.12906,2,1.0,1.0,$105.00,30,0,
100%,99%,49.25138,-123.15709,1,1.0,1.0,$38.00,1,17,75.0
100%,100%,49.26799,-123.16636,6,3.0,3.0,$251.00,30,3,100.0
93%,95%,49.27579,-123.11608,4,2.0,2.0,$148.00,2,9,84.0
100%,100%,49.2585,-123.08537,4,2.0,4.0,$165.00,4,3,100.0
,,49.28181,-123.12602,4,2.0,2.0,$142.00,30,5,100.0
93%,95%,49.27599,-123.11649,4,2.0,2.0,$148.00,2,8,93.0
100%,80%,49.24734,-123.07494,4,1.0,2.0,$87.00,1,8,93.0
100%,100%,49.27096,-123.06074,2,1.0,1.0,$106.00,30,1,80.0
100%,99%,49.24925,-123.16046,2,1.0,1.0,$38.00,1,12,75.0
100%,100%,49.28436,-123.11689,3,1.0,2.0,$130.00,30,0,
100%,84%,49.27928,-123.12047,2,1.0,1.0,$97.00,30,0,
100%,59%,49.26705,-123.16161,4,2.0,2.0,$320.00,2,6,90.0
100%,71%,49.27912,-123.09902,1,1.0,1.0,$61.00,2,10,94.0
,75%,49.27333,-123.12758,4,1.0,2.0,$254.00,2,4,55.0
100%,99%,49.21613,-123.14369,2,1.0,1.0,$58.00,1,33,88.0
100%,99%,49.21452,-123.14231,4,1.0,2.0,$48.00,1,26,91.0
100%,99%,49.21549,-123.14257,1,1.0,1.0,$36.00,1,11,89.0
100%,99%,49.21561,-123.14419,1,1.0,1.0,$42.00,1,11,96.0
100%,91%,49.27581,-123.12913,5,2.0,3.0,$200.00,34,8,100.0
,100%,49.26677,-123.16245,6,4.0,4.0,$350.00,3,2,100.0
89%,100%,49.25976,-123.07446,2,1.0,1.0,$93.00,2,28,99.0
91%,80%,49.27594,-123.1131,3,1.0,1.0,$105.00,60,0,
,,49.27823,-123.10815,5,2.0,3.0,$153.00,3,23,96.0
100%,97%,49.28024,-123.1094,2,1.0,1.0,$112.00,30,1,80.0
100%,97%,49.26158,-123.08246,2,,1.0,$74.00,2,45,99.0
80%,100%,49.27472,-123.11666,3,1.0,1.0,$170.00,30,7,97.0
100%,89%,49.27751,-123.09855,4,1.0,2.0,$116.00,7,9,100.0
100%,100%,49.27883,-123.11714,5,2.0,2.0,$200.00,30,0,
100%,91%,49.23972,-123.15498,2,1.0,1.0,$109.00,3,7,100.0
0%,79%,49.28383,-123.11209,2,1.0,,$99.00,1,0,
100%,86%,49.27465,-123.12995,6,3.0,3.0,$500.00,30,0,
30%,60%,49.26246,-123.07123,6,5.0,0.0,$102.00,30,0,
99%,99%,49.22337,-123.12742,2,1.0,1.0,$40.00,1,11,98.0
100%,91%,49.23854,-123.05431,6,3.0,4.0,$279.00,3,8,100.0
,,49.27942,-123.1299,4,1.0,2.0,$114.00,2,24,97.0
,,49.27442,-123.12983,2,1.0,1.0,$225.00,300,0,
100%,63%,49.22098,-123.04455,4,2.0,2.0,$130.00,2,2,100.0
91%,80%,49.27626,-123.11402,4,2.0,0.0,$124.00,60,0,
91%,80%,49.27228,-123.12859,2,1.0,0.0,$110.00,60,0,
,100%,49.28095,-123.10621,4,2.0,2.0,$119.00,2,0,
,100%,49.26079,-123.1346,2,1.0,1.0,$63.00,1,7,100.0
65%,94%,49.27829,-123.10655,4,1.0,1.0,$399.00,1,4,85.0
,94%,49.28053,-123.10924,4,2.0,3.0,$133.00,2,7,97.0
100%,67%,49.28147,-123.10822,2,1.0,1.0,$100.00,92,1,100.0
,,49.27913,-123.11864,3,1.0,1.0,$200.00,31,0,
100%,71%,49.28056,-123.1258,2,1.0,1.0,$182.00,2,0,
100%,71%,49.28032,-123.12532,3,2.0,2.0,$206.00,2,0,
100%,100%,49.2754,-123.12857,4,1.0,1.0,$170.00,5,37,98.0
95%,100%,49.23548,-123.14041,5,1.0,2.0,$79.00,1,9,96.0
100%,70%,49.23579,-123.03803,1,1.0,2.0,$25.00,30,0,
100%,70%,49.23397,-123.03716,1,1.0,0.0,$25.00,30,1,100.0
100%,92%,49.28725,-123.12274,6,2.0,3.0,$210.00,2,11,87.0
100%,71%,49.25855,-123.0797,2,1.0,1.0,$110.00,5,1,100.0
0%,20%,49.21217,-123.11554,4,1.0,2.0,$60.00,14,0,
91%,80%,49.27756,-123.1304,2,1.0,0.0,$101.00,60,0,
91%,80%,49.28877,-123.13393,2,,1.0,$83.00,30,0,
100%,89%,49.24412,-123.13165,2,1.0,2.0,$48.00,1,23,97.0
50%,86%,49.2767,-123.02369,1,1.0,0.0,$45.00,2,1,80.0
100%,100%,49.28852,-123.12402,3,1.0,1.0,$106.00,2,48,95.0
,100%,49.27894,-123.12218,4,1.0,2.0,$99.00,1,1,100.0
30%,71%,49.29037,-123.12809,2,1.0,1.0,$120.00,30,2,100.0
,,49.28376,-123.12375,4,1.0,2.0,$275.00,30,0,
100%,100%,49.27789,-123.10709,5,4.0,4.0,$290.00,30,35,95.0
100%,90%,49.25424,-123.10303,4,,2.0,$101.00,1,11,96.0
,,49.23588,-123.12584,4,2.0,2.0,$125.00,3,1,100.0
91%,80%,49.27537,-123.12965,4,2.0,0.0,$120.00,30,0,
100%,95%,49.24775,-123.18042,3,1.0,2.0,$115.00,2,13,94.0
0%,20%,49.21394,-123.11599,4,1.0,2.0,$60.00,1,0,
96%,100%,49.25874,-123.11104,2,1.0,2.0,$42.00,30,4,80.0
,75%,49.22118,-123.05514,2,1.0,1.0,$75.00,2,1,100.0
70%,87%,49.28076,-123.10981,8,3.0,3.0,$314.00,31,6,100.0
79%,98%,49.27666,-123.12818,1,1.0,1.0,$40.00,2,26,93.0
97%,85%,49.2772,-123.12207,4,2.0,2.0,$120.00,30,0,
100%,85%,49.2379,-123.06381,4,3.0,3.0,$132.00,42,4,100.0
100%,92%,49.29232,-123.13462,3,2.0,2.0,$229.00,2,2,100.0
100%,96%,49.28038,-123.1252,2,,1.0,$81.00,30,3,100.0
100%,,49.28016,-123.05426,2,1.0,1.0,$90.00,30,0,
0%,20%,49.21213,-123.11569,4,1.0,2.0,$70.00,14,0,
100%,100%,49.2785,-123.12065,3,1.0,1.0,$100.00,4,19,92.0
96%,100%,49.26025,-123.11151,1,1.0,1.0,$25.00,30,3,93.0
100%,96%,49.25024,-123.05147,4,2.0,2.0,$90.00,3,9,89.0
77%,93%,49.23828,-123.1536,2,1.0,0.0,$45.00,1,1,100.0
,100%,49.28662,-123.12603,2,,1.0,$108.00,30,1,100.0
,,49.27403,-123.12521,2,1.0,1.0,"$2,200.00",180,0,
100%,98%,49.27773,-123.12082,3,1.0,2.0,$132.00,2,14,100.0
100%,88%,49.26047,-123.07837,2,1.0,1.0,$31.00,30,1,20.0
100%,88%,49.25959,-123.0782,2,1.0,1.0,$27.00,30,3,80.0
25%,0%,49.2752,-123.11126,4,2.0,2.0,$250.00,30,0,
100%,91%,49.25344,-123.08987,2,1.0,1.0,$37.00,10,0,
100%,100%,49.2812,-123.12689,6,2.0,4.0,$180.00,3,8,95.0
91%,80%,49.27797,-123.12906,4,2.0,0.0,$129.00,60,0,
0%,20%,49.21406,-123.11407,16,5.0,10.0,"$1,050.00",7,0,
96%,100%,49.26046,-123.11289,2,1.0,1.0,$46.00,30,0,
100%,90%,49.26111,-123.07165,1,1.0,1.0,$30.00,30,2,100.0
,,49.24631,-123.06568,2,1.0,1.0,$93.00,1,14,96.0
91%,80%,49.27635,-123.1275,2,1.0,0.0,$101.00,90,0,
91%,80%,49.28788,-123.13206,2,1.0,0.0,$106.00,30,0,
100%,44%,49.2759,-123.11465,2,1.0,1.0,$163.00,1,0,
100%,,49.27062,-123.10899,2,1.0,1.0,$100.00,180,0,
90%,95%,49.2734,-123.12665,4,2.0,2.0,$149.00,30,0,
100%,50%,49.2738,-123.1496,2,1.0,1.0,$95.00,30,0,
100%,60%,49.27776,-123.08485,2,1.0,1.0,$120.00,3,4,100.0
100%,100%,49.28202,-123.10757,4,3.0,3.0,$158.00,1,20,94.0
99%,99%,49.22613,-123.12858,4,1.0,2.0,$55.00,1,5,92.0
100%,91%,49.27701,-123.12065,2,,2.0,$120.00,30,2,100.0
95%,95%,49.28008,-123.10864,5,3.0,4.0,$157.00,2,61,98.0
100%,100%,49.27417,-123.13216,4,2.0,2.0,$345.00,30,0,
100%,100%,49.27517,-123.1282,4,2.0,2.0,$188.00,30,0,
100%,67%,49.2883,-123.1346,3,2.0,3.0,$105.00,30,0,
81%,64%,49.25495,-123.03506,1,1.0,1.0,$26.00,30,0,
100%,80%,49.24245,-123.08382,2,1.0,1.0,$90.00,2,1,100.0
93%,95%,49.27411,-123.11459,4,2.0,1.0,$108.00,2,0,
86%,80%,49.27059,-123.05699,4,2.0,2.0,$120.00,2,4,95.0
100%,91%,49.25275,-123.09117,2,1.0,1.0,$37.00,5,0,
100%,97%,49.27764,-123.12334,10,3.0,5.0,$150.00,1,26,97.0
20%,100%,49.2765,-123.12686,2,,2.0,$100.00,60,0,
100%,100%,49.27537,-123.12202,2,1.0,1.0,$150.00,30,1,100.0
100%,91%,49.25825,-123.07885,2,1.0,1.0,$28.00,30,3,80.0
91%,80%,49.27407,-123.13221,4,1.0,0.0,$110.00,60,0,
30%,60%,49.26435,-123.072,6,3.0,1.0,$150.00,30,0,
,,49.28628,-123.12488,2,1.0,0.0,$150.00,31,0,
100%,91%,49.25984,-123.08007,2,1.0,1.0,$26.00,30,1,80.0
98%,98%,49.23701,-123.10017,6,2.0,2.0,$113.00,1,1,100.0
91%,80%,49.27686,-123.12067,4,2.0,0.0,$127.00,90,0,
100%,14%,49.24754,-123.0461,2,1.0,,$69.00,1,0,
93%,95%,49.27036,-123.10119,6,3.0,3.0,$202.00,30,3,87.0
100%,50%,49.26361,-123.15723,4,2.0,3.0,$144.00,32,0,
100%,91%,49.25282,-123.09166,2,1.0,1.0,$30.00,30,1,60.0
93%,95%,49.27353,-123.11563,4,2.0,2.0,$138.00,2,7,80.0
100%,0%,49.28926,-123.1224,3,1.0,1.0,$100.00,30,0,
90%,100%,49.21959,-123.09827,4,1.0,1.0,$70.00,2,7,89.0
100%,,49.28037,-123.0985,2,,1.0,$180.00,28,0,
100%,91%,49.26464,-123.099,3,1.0,2.0,$94.00,20,17,100.0
100%,100%,49.27936,-123.12044,4,2.0,2.0,$188.00,30,2,100.0
100%,100%,49.27825,-123.12111,4,2.0,2.0,$290.00,2,20,98.0
91%,80%,49.27706,-123.13255,4,2.0,0.0,$128.00,60,0,
91%,80%,49.27609,-123.11304,2,1.0,0.0,$108.00,60,0,
95%,90%,49.27667,-123.1243,2,1.0,1.0,$116.00,90,0,
100%,88%,49.25312,-123.09184,2,1.0,1.0,$27.00,30,1,100.0
100%,95%,49.28101,-123.10346,4,1.0,2.0,$119.00,1,12,100.0
100%,100%,49.28137,-123.10354,2,1.0,1.0,$250.00,7,3,100.0
100%,91%,49.25822,-123.07895,2,1.0,1.0,$27.00,30,1,100.0
0%,50%,49.27458,-123.11624,4,2.0,2.0,$110.00,30,0,
,,49.28372,-123.12773,2,1.0,1.0,$110.00,1,0,
100%,0%,49.25566,-123.10702,2,1.0,1.0,$88.00,30,0,
100%,100%,49.27354,-123.07188,2,1.0,2.0,$80.00,30,2,100.0
100%,88%,49.25486,-123.08989,2,1.0,1.0,$37.00,5,2,100.0
100%,96%,49.28295,-123.11335,2,1.0,1.0,$148.00,1,39,99.0
100%,95%,49.22669,-123.03529,7,3.0,3.0,$217.00,3,0,
100%,75%,49.27199,-123.1617,2,2.0,2.0,$99.00,30,2,100.0
98%,99%,49.28857,-123.12232,3,1.0,2.0,$87.00,3,12,100.0
50%,44%,49.28874,-123.02393,8,3.0,3.0,$221.00,2,3,100.0
80%,91%,49.24968,-123.09156,4,2.0,3.0,$110.00,1,22,92.0
,,49.24434,-123.09565,2,1.0,0.0,$90.00,30,0,
20%,100%,49.27582,-123.11481,2,,0.0,$100.00,90,0,
100%,50%,49.27678,-123.12976,2,1.0,1.0,$115.00,31,2,100.0
100%,96%,49.28125,-123.11185,2,1.0,1.0,$142.00,1,20,97.0
100%,100%,49.25525,-123.1676,2,1.0,1.0,$79.00,1,13,100.0
100%,82%,49.25184,-123.04145,2,1.0,1.0,$55.00,3,2,100.0
100%,84%,49.276,-123.12891,4,1.0,1.0,$155.00,30,0,
97%,85%,49.27076,-123.10098,2,1.0,1.0,$100.00,30,4,100.0
100%,92%,49.29142,-123.13445,2,1.0,1.0,$179.00,1,9,98.0
100%,96%,49.28333,-123.11118,4,1.0,2.0,$163.00,1,21,98.0
100%,96%,49.28293,-123.11321,4,1.0,2.0,$144.00,1,13,95.0
100%,100%,49.28875,-123.12286,4,1.0,2.0,$200.00,2,11,98.0
33%,100%,49.27898,-123.10521,4,1.0,1.0,$102.00,3,0,
100%,74%,49.25901,-123.07633,1,1.0,1.0,$21.00,30,0,
91%,80%,49.27554,-123.12998,2,1.0,1.0,$112.00,60,0,
100%,100%,49.27664,-123.09226,2,1.0,1.0,$197.00,30,2,100.0
,,49.2821,-123.12454,3,1.0,2.0,$115.00,3,10,100.0
100%,100%,49.28304,-123.09635,2,1.0,1.0,$79.00,1,4,90.0
100%,100%,49.25176,-123.11792,5,2.0,2.0,$199.00,2,7,91.0
100%,100%,49.28248,-123.11718,3,1.0,1.0,$116.00,30,0,
100%,88%,49.25479,-123.09146,2,1.0,1.0,$36.00,10,5,84.0
,100%,49.28302,-123.10348,4,1.0,1.0,$224.00,3,1,100.0
,96%,49.26494,-123.16104,2,1.0,1.0,$65.00,3,1,100.0
100%,100%,49.2608,-123.11224,2,1.0,1.0,$113.00,1,1,80.0
100%,100%,49.23931,-123.07621,4,2.0,2.0,$138.00,2,13,98.0
91%,80%,49.27587,-123.13173,2,1.0,0.0,$110.00,60,0,
100%,33%,49.25334,-123.11394,2,1.0,2.0,$149.00,30,0,
,100%,49.28533,-123.05461,4,2.0,2.0,$200.00,14,0,
91%,80%,49.27586,-123.11465,2,1.0,0.0,$105.00,60,0,
100%,100%,49.26571,-123.17853,6,2.0,3.0,$98.00,2,14,93.0
100%,100%,49.26081,-123.11252,4,2.0,2.0,$132.00,3,0,
91%,80%,49.27521,-123.11647,3,1.0,0.0,$110.00,60,0,
100%,100%,49.23751,-123.09957,2,1.0,1.0,$75.00,3,7,100.0
0%,,49.22457,-123.07304,1,1.0,1.0,$22.00,100,0,
100%,100%,49.24731,-123.17137,2,,1.0,$75.00,28,4,100.0
100%,82%,49.26194,-123.10838,2,1.0,1.0,$75.00,2,4,100.0
100%,95%,49.24573,-123.08301,4,1.0,2.0,$96.00,5,14,99.0
57%,83%,49.27809,-123.10653,4,1.0,1.0,$200.00,2,1,100.0
91%,80%,49.28843,-123.13039,3,1.0,1.0,$105.00,30,0,
100%,100%,49.27519,-123.11506,2,1.0,2.0,$200.00,30,1,80.0
96%,100%,49.2586,-123.11131,1,1.0,1.0,$40.00,30,0,
96%,100%,49.25903,-123.11328,2,1.0,1.0,$33.00,30,0,
91%,80%,49.27717,-123.11513,3,1.0,0.0,$106.00,60,0,
100%,100%,49.27557,-123.12677,1,1.0,1.0,$95.00,30,3,93.0
96%,100%,49.25889,-123.11327,2,1.0,1.0,$42.00,30,1,80.0
91%,80%,49.27761,-123.13067,4,2.0,0.0,$110.00,60,0,
91%,80%,49.27565,-123.11466,3,1.0,0.0,$90.00,60,1,100.0
100%,94%,49.27958,-123.10676,6,2.0,5.0,$180.00,2,4,80.0
100%,91%,49.25472,-123.09178,2,1.0,1.0,$30.00,30,0,
91%,80%,49.27544,-123.12791,4,2.0,0.0,$124.00,30,0,
40%,100%,49.28164,-123.10817,2,1.0,1.0,$90.00,90,0,
100%,88%,49.25495,-123.09141,2,1.0,1.0,$31.00,30,0,
100%,100%,49.24785,-123.02555,2,1.0,1.0,$80.00,2,5,100.0
,,49.20553,-123.02408,1,1.0,1.0,$50.00,1,0,
99%,100%,49.22124,-123.11926,2,1.0,1.0,$35.00,1,11,73.0
100%,100%,49.2614,-123.16641,4,1.0,4.0,$135.00,30,4,95.0
100%,95%,49.23348,-123.11616,4,2.0,2.0,$135.00,3,6,100.0
100%,88%,49.26007,-123.08008,2,1.0,0.0,$27.00,30,2,80.0
100%,93%,49.28065,-123.10795,6,2.0,3.0,$159.00,2,17,98.0
100%,100%,49.24642,-123.02565,4,2.0,2.0,$99.00,3,6,80.0
100%,100%,49.27057,-123.0601,2,1.0,1.0,$70.00,2,5,100.0
100%,,49.29115,-123.13079,2,1.0,1.0,$130.00,30,0,
100%,63%,49.27498,-123.13384,4,2.0,2.0,$150.00,28,1,100.0
100%,91%,49.2535,-123.08985,2,1.0,1.0,$30.00,30,1,100.0
100%,100%,49.26962,-123.10804,2,1.0,2.0,$110.00,30,3,100.0
91%,80%,49.28697,-123.13171,2,1.0,0.0,$87.00,30,0,
100%,88%,49.25375,-123.09178,2,1.0,1.0,$31.00,30,1,60.0
71%,93%,49.28037,-123.12454,4,2.0,2.0,$75.00,30,0,
100%,100%,49.217,-123.11379,4,2.0,2.0,$160.00,30,0,
96%,99%,49.23429,-123.13786,6,3.0,4.0,$100.00,1,9,82.0
80%,74%,49.28299,-123.13619,3,1.0,1.0,$120.00,20,3,73.0
